CITY,LAT,LNG
Bakar,45.3071461,14.5342673
Bale,45.041053,13.786641
Banjol,44.7533091,14.77446
Baska,44.9709329,14.7508013
Boljun,45.3019621,14.1213576
Bribir,45.1618724,14.7608879
Buje,45.4083652,13.659136
Buzet,45.4078767,13.9655905
Cernik,45.3522868,14.4946827
Cres,44.8890783,14.3832262
Crikvenica,45.1737049,14.6927906
Delnice,45.3991761,14.8020393
Drazice,45.3889312,14.4659426
Drenova,45.3525337,14.4297354
Fazana,44.9273327,13.8050769
Funtana,45.1745816,13.6052853
Fuzine,45.3046471,14.7135873
Hreljin,45.2840364,14.5989301
Hum,45.348526,14.0503632
Jadranovo,45.2266115,14.6157613
Kampor,44.7768332,14.7279432
Kanfanar,45.1228399,13.8384985
Karojba,45.3043468,13.8220017
Kastav,45.3731673,14.3487225
Klana,45.4444467,14.3743376
Klenovica,45.1027535,14.8457182
Kostrena,45.3207084,14.4914058
Kraljevica,45.2736336,14.5702723
Krasica,45.3817906,13.6915308
Krk,45.0901954,14.5496681
Kukuljanovo,45.3264757,14.5227691
Labin,45.094851,14.1231931
Lopar,44.8299167,14.7312832
Lupoglav,45.3519805,14.1088008
Matulji,45.3637986,14.3241057
Medulin,44.821786,13.9367142
Motovun,45.3367292,13.8282067
Mrkopalj,45.3154497,14.8557128
Njivice,45.1588133,14.5395314
Novi Vinodolski,45.1270044,14.7914067
Novigrad,45.3168509,13.5649454
Ogulin,45.2668211,15.2250286
Opatija,45.332782,14.3029538
Pag,44.4966129,14.9461853
Pazin,45.2391995,13.9363313
Podhum,45.3900903,14.4780274
Porec,45.2273829,13.5956941
Predosljica,45.04139,14.37194
Premantura,44.8021166,13.9111814
Prempen,45.15222,14.86333
Prezid,45.6369972,14.5782552
Pula,44.8702281,13.8455311
Punat,45.0195884,14.631247
Rab,44.7756866,14.7347122
Rabac,45.0804894,14.1530529
Racice,45.3541699,13.9844129
Radetici,45.1655761,13.807981
Radmani,45.2018779,13.6833586
Radosi,45.2622329,13.6835708
Radovani,45.2504633,13.744803
Rijeka,45.3271752,14.4412309
Rovinj,45.0809754,13.6424024
Selce,45.1582241,14.7206658
Skrad,45.4332541,14.9059561
Supetarska Draga,44.7954875,14.7304429
Tar,45.2999319,13.6262747
Tribalj,45.2231439,14.6783868
Umag,45.4323587,13.5224098
Vodnjan,44.9589555,13.8513371
Volosko,45.3483902,14.3200644
Vrbnik,45.0757279,14.6744188
Vrbovsko,45.3740037,15.0781121
Vrsar,45.1490782,13.6063472
